"","Name","ID","Description","Gene Width","Sum of Exon Widths","Number of Exons","Class","InterPro Accession"
"ENSG00000100031.19","GGT1","ENSG00000100031.19","gamma-glutamyltransferase 1",34195,27259,188,"protein_coding",""
"ENSG00000184571.14","PIWIL3","ENSG00000184571.14","piwi like RNA-mediated gene silencing 3",55687,13322,86,"protein_coding","IPR003100"
"ENSG00000167037.19","SGSM1","ENSG00000167037.19","small G protein signaling modulator 1",121410,26383,125,"protein_coding","IPR000195"
"ENSG00000206069.8","LHFPL7","ENSG00000206069.8","LHFPL tetraspan subfamily member 7",11598,1844,8,"protein_coding","IPR019372"
"ENSG00000197077.14","KIAA1671","ENSG00000197077.14","KIAA1671",244733,38247,51,"protein_coding","IPR032764"
"ENSG00000100053.10","CRYBB3","ENSG00000100053.10","crystallin beta B3",7502,1456,11,"protein_coding","IPR001064"
"ENSG00000244752.3","CRYBB2","ENSG00000244752.3","crystallin beta B2",19307,1788,12,"protein_coding","IPR001064"
"ENSG00000100077.16","GRK3","ENSG00000100077.16","G protein-coupled receptor kinase 3",164620,9934,30,"protein_coding","IPR000239"
"ENSG00000133454.16","MYO18B","ENSG00000133454.16","myosin XVIIIB",288902,43453,229,"protein_coding","IPR001609"
"ENSG00000100095.19","SEZ6L","ENSG00000100095.19","seizure related 6 homolog like",214136,36459,132,"protein_coding","IPR000436"
"ENSG00000128203.7","ASPHD2","ENSG00000128203.7","aspartate beta-hydroxylase domain containing 2",15756,3370,4,"protein_coding","IPR007803"
"ENSG00000100099.22","HPS4","ENSG00000100099.22","HPS4 biogenesis of lysosomal organelles complex 3 subunit 2",40825,189460,507,"protein_coding",""
"ENSG00000100104.13","SRRD","ENSG00000100104.13","SRR1 domain containing",10782,5295,13,"protein_coding","IPR012942"
"ENSG00000100109.17","TFIP11","ENSG00000100109.17","tuftelin interacting protein 11",21281,23012,120,"protein_coding","IPR000467"
"ENSG00000128294.16","TPST2","ENSG00000128294.16","tyrosylprotein sulfotransferase 2",74722,16117,43,"protein_coding","IPR026634"
"ENSG00000100122.7","CRYBB1","ENSG00000100122.7","crystallin beta B1",18750,1358,9,"protein_coding","IPR001064"
"ENSG00000196431.4","CRYBA4","ENSG00000196431.4","crystallin beta A4",8707,1451,11,"protein_coding","IPR001064"
"ENSG00000169184.7","MN1","ENSG00000169184.7","MN1 proto-oncogene, transcriptional regulator",53480,12082,9,"protein_coding","IPR037644"
"ENSG00000180957.19","PITPNB","ENSG00000180957.19","phosphatidylinositol transfer protein beta",68466,11568,72,"protein_coding","IPR001666"
"ENSG00000100154.15","TTC28","ENSG00000100154.15","tetratricopeptide repeat domain 28",701827,26747,65,"protein_coding","IPR011990"
"ENSG00000183765.24","CHEK2","ENSG00000183765.24","checkpoint kinase 2",54680,34757,283,"protein_coding","IPR000719"
"ENSG00000100209.11","HSCB","ENSG00000100209.11","HscB mitochondrial iron-sulfur cluster cochaperone",15477,5966,39,"protein_coding","IPR004640"
"ENSG00000159873.10","CCDC117","ENSG00000159873.10","coiled-coil domain containing 117",16628,13724,25,"protein_coding","IPR031630"
"ENSG00000100219.17","XBP1","ENSG00000100219.17","X-box binding protein 1",6043,9848,25,"protein_coding","IPR004827"
"ENSG00000183579.16","ZNRF3","ENSG00000183579.16","zinc and ring finger 3",173917,12417,26,"protein_coding","IPR001841"
"ENSG00000100249.5","C22orf31","ENSG00000100249.5","chromosome 22 open reading frame 31",3160,982,3,"protein_coding","IPR028970"
"ENSG00000183762.13","KREMEN1","ENSG00000183762.13","kringle containing transmembrane protein 1",95299,11913,37,"protein_coding","IPR000001"
"ENSG00000186998.16","EMID1","ENSG00000186998.16","EMI domain containing 1",53702,13422,94,"protein_coding","IPR008160"
"ENSG00000100263.14","RHBDD3","ENSG00000100263.14","rhomboid domain containing 3",8338,7475,31,"protein_coding","IPR009060"
"ENSG00000182944.18","EWSR1","ENSG00000182944.18","EWS RNA binding protein 1",32517,40903,220,"protein_coding",""
"ENSG00000185340.16","GAS2L1","ENSG00000185340.16","growth arrest specific 2 like 1",6170,17757,44,"protein_coding","IPR001715"
"ENSG00000100276.10","RASL10A","ENSG00000100276.10","RAS like family 10 member A",6747,4251,10,"protein_coding","IPR001806"
"ENSG00000100280.17","AP1B1","ENSG00000100280.17","adaptor related protein complex 1 subunit beta 1",60904,23634,116,"protein_coding","IPR000225"
"ENSG00000128250.5","RFPL1","ENSG00000128250.5","ret finger protein like 1",3873,1496,2,"protein_coding","IPR001841"
"ENSG00000100285.10","NEFH","ENSG00000100285.10","neurofilament heavy chain",11173,3795,4,"protein_coding","IPR010790"
"ENSG00000100296.14","THOC5","ENSG00000100296.14","THO complex subunit 5",49338,26548,189,"protein_coding","IPR019163"
"ENSG00000184117.12","NIPSNAP1","ENSG00000184117.12","nipsnap homolog 1",26520,4975,38,"protein_coding","IPR011008"
"ENSG00000186575.20","NF2","ENSG00000186575.20","NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor",95046,49006,240,"protein_coding","IPR000299"
"ENSG00000100314.4","CABP7","ENSG00000100314.4","calcium binding protein 7",11831,3334,5,"protein_coding","IPR001751"
"ENSG00000100319.13","ZMAT5","ENSG00000100319.13","zinc finger matrin-type 5",36056,3413,8,"protein_coding","IPR000571"
"ENSG00000184076.13","UQCR10","ENSG00000184076.13","ubiquinol-cytochrome c reductase, complex III subunit X",3045,1500,4,"protein_coding","IPR008027"
"ENSG00000100325.15","ASCC2","ENSG00000100325.15","activating signal cointegrator 1 complex subunit 2",49696,22635,167,"protein_coding","IPR003892"
"ENSG00000100330.16","MTMR3","ENSG00000100330.16","myotubularin related protein 3",147700,35797,122,"protein_coding","IPR000306"
"ENSG00000176635.18","HORMAD2","ENSG00000176635.18","HORMA domain containing 2",96612,5099,35,"protein_coding","IPR003511"
"ENSG00000128342.5","LIF","ENSG00000128342.5","LIF interleukin 6 family cytokine",6307,4463,5,"protein_coding","IPR001581"
"ENSG00000099985.4","OSM","ENSG00000099985.4","oncostatin M",4023,3329,8,"protein_coding","IPR001581"
"ENSG00000239282.8","CASTOR1","ENSG00000239282.8","cytosolic arginine sensor for mTORC1 subunit 1",4506,11719,69,"protein_coding","IPR026249"
"ENSG00000248751.6","ENSG00000248751","ENSG00000248751.6","novel protein",14245,9235,65,"protein_coding",""
"ENSG00000099992.16","TBC1D10A","ENSG00000099992.16","TBC1 domain family member 10A",34958,19079,67,"protein_coding","IPR000195"
"ENSG00000099995.19","SF3A1","ENSG00000099995.19","splicing factor 3a subunit 1",24932,10591,43,"protein_coding","IPR000061"
"ENSG00000187860.11","CCDC157","ENSG00000187860.11","coiled-coil domain containing 157",22039,16588,49,"protein_coding","IPR029681"
"ENSG00000099999.15","RNF215","ENSG00000099999.15","ring finger protein 215",52961,15707,43,"protein_coding",""
"ENSG00000100003.18","SEC14L2","ENSG00000100003.18","SEC14 like lipid binding 2",28363,21268,120,"protein_coding","IPR001251"
"ENSG00000249590.7","ENSG00000249590","ENSG00000249590.7","novel SEC14-like 2 (S. cerevisiae) (SEC14L2) and mitochondrial protein 18 kDa (MTP18) protein",19736,3036,18,"protein_coding",""
"ENSG00000242114.6","MTFP1","ENSG00000242114.6","mitochondrial fission process 1",3432,4825,20,"protein_coding","IPR019560"
"ENSG00000100012.12","SEC14L3","ENSG00000100012.12","SEC14 like lipid binding 3",24059,12956,85,"protein_coding","IPR001251"
"ENSG00000133488.15","SEC14L4","ENSG00000133488.15","SEC14 like lipid binding 4",16810,9252,49,"protein_coding","IPR001251"
"ENSG00000214491.9","SEC14L6","ENSG00000214491.9","SEC14 like lipid binding 6",23943,16770,61,"protein_coding","IPR001251"
"ENSG00000128242.13","GAL3ST1","ENSG00000128242.13","galactose-3-O-sulfotransferase 1",20031,21149,81,"protein_coding","IPR009729"
"ENSG00000100029.18","PES1","ENSG00000100029.18","pescadillo ribosomal biogenesis factor 1",30459,18373,112,"protein_coding","IPR001357"
"ENSG00000185339.10","TCN2","ENSG00000185339.10","transcobalamin 2",20269,36839,145,"protein_coding","IPR002157"
"ENSG00000100036.13","SLC35E4","ENSG00000100036.13","solute carrier family 35 member E4",33236,6696,8,"protein_coding","IPR004853"
"ENSG00000167065.14","DUSP18","ENSG00000167065.14","dual specificity phosphatase 18",15837,14857,27,"protein_coding",""
"ENSG00000184792.16","OSBP2","ENSG00000184792.16","oxysterol binding protein 2",214043,40329,175,"protein_coding","IPR000648"
"ENSG00000133422.14","MORC2","ENSG00000133422.14","MORC family CW-type zinc finger 2",43645,34207,173,"protein_coding","IPR011124"
"ENSG00000253352.10","TUG1","ENSG00000253352.10","taurine up-regulated 1",10151,79297,59,"protein_coding",""
"ENSG00000183963.19","SMTN","ENSG00000183963.19","smoothelin",40653,43580,248,"protein_coding","IPR022189"
"ENSG00000198832.11","SELENOM","ENSG00000198832.11","selenoprotein M",15298,7340,39,"protein_coding","IPR014912"
"ENSG00000185133.15","INPP5J","ENSG00000185133.15","inositol polyphosphate-5-phosphatase J",11967,26884,126,"protein_coding",""
"ENSG00000100078.4","PLA2G3","ENSG00000100078.4","phospholipase A2 group III",5702,2600,7,"protein_coding","IPR016090"
"ENSG00000138942.17","RNF185","ENSG00000138942.17","ring finger protein 185",46838,13033,36,"protein_coding","IPR001841"
"ENSG00000182541.18","LIMK2","ENSG00000182541.18","LIM domain kinase 2",67842,16586,79,"protein_coding","IPR000719"
"ENSG00000100100.14","PIK3IP1","ENSG00000100100.14","phosphoinositide-3-kinase interacting protein 1",10941,14504,32,"protein_coding","IPR000001"
"ENSG00000100105.18","PATZ1","ENSG00000100105.18","POZ/BTB and AT hook containing zinc finger 1",20543,16297,21,"protein_coding","IPR000210"
"ENSG00000185721.14","DRG1","ENSG00000185721.14","developmentally regulated GTP binding protein 1",129137,4418,32,"protein_coding","IPR004095"
"ENSG00000184708.18","EIF4ENIF1","ENSG00000184708.18","eukaryotic translation initiation factor 4E nuclear import factor 1",59132,21391,117,"protein_coding","IPR018862"
"ENSG00000198089.16","SFI1","ENSG00000198089.16","SFI1 centrin binding protein",129901,47572,322,"protein_coding","IPR052270"
"ENSG00000241878.12","PISD","ENSG00000241878.12","phosphatidylserine decarboxylase",43731,26581,101,"protein_coding","IPR003817"
"ENSG00000183530.14","PRR14L","ENSG00000183530.14","proline rich 14 like",73885,20752,33,"protein_coding","IPR026320"
"ENSG00000100150.20","DEPDC5","ENSG00000100150.20","DEP domain containing 5, GATOR1 subcomplex subunit",154167,200947,1495,"protein_coding","IPR000591"
"ENSG00000285404.1","ENSG00000285404","ENSG00000285404.1","novel protein, DEPDC5-YWHAH readthrough",201345,1914,21,"protein_coding","IPR027244"
"ENSG00000128245.15","YWHAH","ENSG00000128245.15","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta",13082,7351,15,"protein_coding",""
"ENSG00000100170.10","SLC5A1","ENSG00000100170.10","solute carrier family 5 member 1",69769,10953,38,"protein_coding","IPR001734"
"ENSG00000205856.4","C22orf42","ENSG00000205856.4","chromosome 22 open reading frame 42",10317,3895,19,"protein_coding","IPR042865"
"ENSG00000128253.16","RFPL2","ENSG00000128253.16","ret finger protein like 2",14639,9583,23,"protein_coding","IPR001870"
"ENSG00000100191.6","SLC5A4","ENSG00000100191.6","solute carrier family 5 member 4",36884,2048,15,"protein_coding","IPR001734"
"ENSG00000128276.10","RFPL3","ENSG00000128276.10","ret finger protein like 3",6277,2702,5,"protein_coding","IPR001841"
"ENSG00000100220.12","RTCB","ENSG00000100220.12","RNA 2',3'-cyclic phosphate and 5'-OH ligase",24667,5108,32,"protein_coding","IPR001233"
"ENSG00000184459.10","BPIFC","ENSG00000184459.10","BPI fold containing family C",50640,6131,52,"protein_coding","IPR001124"
"ENSG00000100225.18","FBXO7","ENSG00000100225.18","F-box protein 7",24154,17917,58,"protein_coding",""
"ENSG00000185666.16","SYN3","ENSG00000185666.16","synapsin III",550562,14323,44,"protein_coding","IPR001359"
"ENSG00000100234.12","TIMP3","ENSG00000100234.12","TIMP metallopeptidase inhibitor 3",61337,4597,5,"protein_coding","IPR001134"
"ENSG00000133424.22","LARGE1","ENSG00000133424.22","LARGE xylosyl- and glucuronyltransferase 1",760616,103433,366,"protein_coding","IPR002495"
"ENSG00000175329.13","ISX","ENSG00000175329.13","intestine specific homeobox",21252,6457,9,"protein_coding","IPR001356"
"ENSG00000100281.14","HMGXB4","ENSG00000100281.14","HMG-box containing 4",38356,13672,44,"protein_coding","IPR025228"
"ENSG00000100284.22","TOM1","ENSG00000100284.22","target of myb1 membrane trafficking protein",48718,24079,151,"protein_coding","IPR002014"
"ENSG00000100292.18","HMOX1","ENSG00000100292.18","heme oxygenase 1",13854,8343,28,"protein_coding","IPR002051"
"ENSG00000100297.16","MCM5","ENSG00000100297.16","minichromosome maintenance complex component 5",25298,14365,74,"protein_coding",""
"ENSG00000100302.7","RASD2","ENSG00000100302.7","RASD family member 2",13169,3447,3,"protein_coding","IPR001806"
"ENSG00000198125.13","MB","ENSG00000198125.13","myoglobin",31188,7695,36,"protein_coding","IPR000971"
"ENSG00000221963.6","APOL6","ENSG00000221963.6","apolipoprotein L6",19959,10065,3,"protein_coding","IPR008405"
"ENSG00000128313.2","APOL5","ENSG00000128313.2","apolipoprotein L5",11612,1438,5,"protein_coding","IPR008405"
"ENSG00000100320.24","RBFOX2","ENSG00000100320.24","RNA binding fox-1 homolog 2",290089,53228,224,"protein_coding","IPR000504"
"ENSG00000128284.20","APOL3","ENSG00000128284.20",NA,25849,29548,84,"protein_coding",NA
"ENSG00000100336.18","APOL4","ENSG00000100336.18","apolipoprotein L4",15717,28104,61,"protein_coding","IPR008405"
"ENSG00000128335.14","APOL2","ENSG00000128335.14","apolipoprotein L2",13746,9991,37,"protein_coding","IPR008405"
"ENSG00000100342.22","APOL1","ENSG00000100342.22","apolipoprotein L1",14460,19649,60,"protein_coding","IPR008405"
"ENSG00000100345.23","MYH9","ENSG00000100345.23","myosin heavy chain 9",106731,49655,235,"protein_coding","IPR000048"
"ENSG00000100348.10","TXN2","ENSG00000100348.10","thioredoxin 2",14595,4834,21,"protein_coding","IPR013766"
"ENSG00000100350.16","FOXRED2","ENSG00000100350.16","FAD dependent oxidoreductase domain containing 2",20032,59285,127,"protein_coding","IPR036188"
"ENSG00000100353.18","EIF3D","ENSG00000100353.18","eukaryotic translation initiation factor 3 subunit D",18330,11015,79,"protein_coding","IPR007783"
"ENSG00000166862.7","CACNG2","ENSG00000166862.7","calcium voltage-gated channel auxiliary subunit gamma 2",142896,6482,6,"protein_coding","IPR004031"
"ENSG00000100360.15","IFT27","ENSG00000100360.15","intraflagellar transport 27",18055,14482,57,"protein_coding","IPR001806"
"ENSG00000100362.13","PVALB","ENSG00000100362.13","parvalbumin",18796,3135,25,"protein_coding","IPR002048"
"ENSG00000100365.16","NCF4","ENSG00000100365.16","neutrophil cytosolic factor 4",17030,8813,61,"protein_coding","IPR000919"
"ENSG00000100368.15","CSF2RB","ENSG00000100368.15","colony stimulating factor 2 receptor subunit beta",26812,8717,34,"protein_coding","IPR003531"
"ENSG00000185264.12","CIMIP4","ENSG00000185264.12","ciliary microtubule inner protein 4",16732,3670,23,"protein_coding","IPR029234"
"ENSG00000128311.14","TST","ENSG00000128311.14","thiosulfate sulfurtransferase",9325,4478,10,"protein_coding","IPR001307"
"ENSG00000128309.18","MPST","ENSG00000128309.18","mercaptopyruvate sulfurtransferase",10187,14969,24,"protein_coding","IPR001307"
"ENSG00000100379.18","KCTD17","ENSG00000100379.18","potassium channel tetramerization domain containing 17",11652,9314,51,"protein_coding","IPR000210"
"ENSG00000187045.19","TMPRSS6","ENSG00000187045.19","transmembrane serine protease 6",44278,18842,109,"protein_coding","IPR000082"
"ENSG00000100385.15","IL2RB","ENSG00000100385.15","interleukin 2 receptor subunit beta",56453,71277,197,"protein_coding","IPR003531"
"ENSG00000133466.14","C1QTNF6","ENSG00000133466.14","C1q and TNF related 6",19220,14981,33,"protein_coding","IPR001073"
"ENSG00000278195.2","SSTR3","ENSG00000278195.2","somatostatin receptor 3",8241,6037,4,"protein_coding","IPR000276"
"ENSG00000128340.16","RAC2","ENSG00000128340.16","Rac family small GTPase 2",34325,7091,43,"protein_coding","IPR001806"
"ENSG00000100055.21","CYTH4","ENSG00000100055.21","cytohesin 4",33315,12772,73,"protein_coding","IPR000904"
"ENSG00000166897.16","ELFN2","ENSG00000166897.16","extracellular leucine rich repeat and fibronectin type III domain containing 2",59520,11037,18,"protein_coding","IPR001611"
"ENSG00000100060.18","MFNG","ENSG00000100060.18","MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase",17331,9296,46,"protein_coding","IPR003378"
"ENSG00000100065.15","CARD10","ENSG00000100065.15","caspase recruitment domain family member 10",29181,19837,101,"protein_coding","IPR001315"
"ENSG00000128283.7","CDC42EP1","ENSG00000128283.7","CDC42 effector protein 1",8926,4020,10,"protein_coding","IPR000095"
"ENSG00000100079.7","LGALS2","ENSG00000100079.7","galectin 2",12369,1002,8,"protein_coding","IPR001079"
"ENSG00000100083.20","GGA1","ENSG00000100083.20","golgi associated, gamma adaptin ear containing, ARF binding protein 1",25091,28258,175,"protein_coding","IPR002014"
"ENSG00000100092.24","SH3BP1","ENSG00000100092.24","SH3 domain binding protein 1",21464,14540,112,"protein_coding",""
"ENSG00000285304.1","ENSG00000285304","ENSG00000285304.1","novel protein",27240,3123,17,"protein_coding","IPR000198"
"ENSG00000241360.2","PDXP","ENSG00000241360.2","pyridoxal phosphatase",8210,3583,4,"protein_coding","IPR006349"
"ENSG00000100097.12","LGALS1","ENSG00000100097.12","galectin 1",4167,3046,25,"protein_coding","IPR001079"
"ENSG00000273899.5","NOL12","ENSG00000273899.5","nucleolar protein 12",11804,7657,39,"protein_coding",""
"ENSG00000100101.15","ENSG00000100101","ENSG00000100101.15","novel transcript",40090,4904,13,"protein_coding",""
"ENSG00000100106.22","TRIOBP","ENSG00000100106.22","TRIO and F-actin binding protein",79509,30564,104,"protein_coding","IPR001849"
"ENSG00000189060.6","H1-0","ENSG00000189060.6","H1.0 linker histone",2204,2204,1,"protein_coding","IPR005818"
"ENSG00000100116.17","GCAT","ENSG00000100116.17","glycine C-acetyltransferase",9272,6089,37,"protein_coding","IPR001917"
"ENSG00000128310.3","GALR3","ENSG00000128310.3","galanin receptor 3",2104,1147,2,"protein_coding","IPR000276"
"ENSG00000100124.15","ANKRD54","ENSG00000100124.15","ankyrin repeat domain 54",18473,12349,73,"protein_coding","IPR002110"
"ENSG00000100129.18","EIF3L","ENSG00000100129.18","eukaryotic translation initiation factor 3 subunit L",40540,19422,124,"protein_coding","IPR000717"
"ENSG00000100139.14","MICALL1","ENSG00000100139.14","MICAL like 1",37166,30092,158,"protein_coding","IPR001781"
"ENSG00000128346.11","C22orf23","ENSG00000128346.11","chromosome 22 open reading frame 23",10620,7365,37,"protein_coding","IPR007914"
"ENSG00000100142.16","POLR2F","ENSG00000100142.16","RNA polymerase II, I and III subunit F",89309,12550,62,"protein_coding","IPR036161"
"ENSG00000100146.20","SOX10","ENSG00000100146.20","SRY-box transcription factor 10",16737,15920,32,"protein_coding",""
"ENSG00000100151.16","PICK1","ENSG00000100151.16","protein interacting with PRKCA 1",19391,14293,101,"protein_coding",""
"ENSG00000100156.12","SLC16A8","ENSG00000100156.12","solute carrier family 16 member 8",6051,5556,16,"protein_coding","IPR004743"
"ENSG00000128298.18","BAIAP2L2","ENSG00000128298.18","BAR/IMD domain containing adaptor protein 2 like 2",26364,12614,53,"protein_coding","IPR001452"
"ENSG00000184381.20","PLA2G6","ENSG00000184381.20","phospholipase A2 group VI",103284,59360,349,"protein_coding","IPR002110"
"ENSG00000185022.12","MAFF","ENSG00000185022.12","MAF bZIP transcription factor F",15741,16267,20,"protein_coding","IPR004826"
"ENSG00000198792.13","TMEM184B","ENSG00000198792.13","transmembrane protein 184B",53720,21866,67,"protein_coding","IPR005178"
"ENSG00000213923.13","CSNK1E","ENSG00000213923.13","casein kinase 1 epsilon",27394,20786,91,"protein_coding","IPR000719"
"ENSG00000283900.1","TPTEP2-CSNK1E","ENSG00000283900.1","TPTEP2-CSNK1E readthrough",106605,1770,15,"protein_coding","IPR000719"
"ENSG00000168135.4","KCNJ4","ENSG00000168135.4","potassium inwardly rectifying channel subfamily J member 4",28873,2065,2,"protein_coding","IPR003273"
"ENSG00000100196.11","KDELR3","ENSG00000100196.11","KDEL endoplasmic reticulum protein retention receptor 3",15370,3595,14,"protein_coding","IPR000133"
"ENSG00000100201.23","DDX17","ENSG00000100201.23","DEAD-box helicase 17",24223,22306,68,"protein_coding","IPR000629"
"ENSG00000100206.11","DMC1","ENSG00000100206.11","DNA meiotic recombinase 1",51257,7006,50,"protein_coding","IPR003593"
"ENSG00000184949.18","FAM227A","ENSG00000184949.18","family with sequence similarity 227 member A",78512,29553,106,"protein_coding","IPR029417"
"ENSG00000100211.12","CBY1","ENSG00000100211.12","chibby 1, beta catenin antagonist",17219,8763,45,"protein_coding","IPR028118"
"ENSG00000100216.6","TOMM22","ENSG00000100216.6","translocase of outer mitochondrial membrane 22",3465,2813,7,"protein_coding","IPR005683"
"ENSG00000100221.11","JOSD1","ENSG00000100221.11","Josephin domain containing 1",16014,12101,29,"protein_coding","IPR006155"
"ENSG00000100226.16","GTPBP1","ENSG00000100226.16","GTP binding protein 1",32558,14662,54,"protein_coding","IPR027417"
"ENSG00000100242.16","SUN2","ENSG00000100242.16","Sad1 and UNC84 domain containing 2",60854,33815,185,"protein_coding","IPR012919"
"ENSG00000100246.13","DNAL4","ENSG00000100246.13","dynein axonemal light chain 4",15691,3705,11,"protein_coding","IPR001372"
"ENSG00000221890.6","NPTXR","ENSG00000221890.6",NA,25577,5830,5,"protein_coding",NA
"ENSG00000183741.12","CBX6","ENSG00000183741.12","chromobox 6",10828,11456,14,"protein_coding","IPR000953"
"ENSG00000128383.14","APOBEC3A","ENSG00000128383.14","apolipoprotein B mRNA editing enzyme catalytic subunit 3A",10444,3746,15,"protein_coding","IPR002125"
"ENSG00000179750.16","APOBEC3B","ENSG00000179750.16","apolipoprotein B mRNA editing enzyme catalytic subunit 3B",10458,6075,30,"protein_coding","IPR002125"
"ENSG00000244509.4","APOBEC3C","ENSG00000244509.4","apolipoprotein B mRNA editing enzyme catalytic subunit 3C",6096,3700,7,"protein_coding","IPR002125"
"ENSG00000284554.2","ENSG00000284554","ENSG00000284554.2","novel protein",18914,2121,7,"protein_coding","IPR002125"
"ENSG00000243811.12","APOBEC3D","ENSG00000243811.12","apolipoprotein B mRNA editing enzyme catalytic subunit 3D",12165,5067,15,"protein_coding","IPR002125"
"ENSG00000128394.17","APOBEC3F","ENSG00000128394.17","apolipoprotein B mRNA editing enzyme catalytic subunit 3F",15369,6412,16,"protein_coding",""
"ENSG00000239713.9","APOBEC3G","ENSG00000239713.9","apolipoprotein B mRNA editing enzyme catalytic subunit 3G",10677,9915,25,"protein_coding","IPR002125"
"ENSG00000100298.16","APOBEC3H","ENSG00000100298.16","apolipoprotein B mRNA editing enzyme catalytic subunit 3H",6844,5223,30,"protein_coding","IPR002125"
"ENSG00000100307.13","CBX7","ENSG00000100307.13","chromobox 7",32514,10092,25,"protein_coding","IPR000953"
"ENSG00000100311.17","PDGFB","ENSG00000100311.17","platelet derived growth factor subunit B",21624,5963,24,"protein_coding","IPR000072"
"ENSG00000100316.16","RPL3","ENSG00000100316.16","ribosomal protein L3",7508,15777,80,"protein_coding","IPR000597"
"ENSG00000100321.15","SYNGR1","ENSG00000100321.15","synaptogyrin 1",35651,11027,25,"protein_coding","IPR008253"
"ENSG00000100324.14","TAB1","ENSG00000100324.14","TGF-beta activated kinase 1 (MAP3K7) binding protein 1",37283,7583,36,"protein_coding","IPR001932"
"ENSG00000128268.12","MGAT3","ENSG00000128268.12","beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase",35183,6515,7,"protein_coding","IPR006813"
"ENSG00000100335.15","MIEF1","ENSG00000100335.15","mitochondrial elongation factor 1",18701,22219,61,"protein_coding","IPR024810"
"ENSG00000285025.1","MIURF","ENSG00000285025.1","mitochondrial elongation factor 1 upstream open reading frame",213,213,1,"protein_coding","IPR008011"
"ENSG00000128272.18","ATF4","ENSG00000128272.18",NA,2989,14912,32,"protein_coding",NA
"ENSG00000187051.9","RPS19BP1","ENSG00000187051.9","ribosomal protein S19 binding protein 1",3669,6850,19,"protein_coding","IPR023262"
"ENSG00000100346.18","CACNA1I","ENSG00000100346.18","calcium voltage-gated channel subunit alpha1 I",118983,32754,146,"protein_coding","IPR002077"
"ENSG00000176177.10","ENTHD1","ENSG00000176177.10","ENTH domain containing 1",150821,3134,9,"protein_coding","IPR008942"
"ENSG00000100351.17","GRAP2","ENSG00000100351.17","GRB2 related adaptor protein 2",72638,9146,29,"protein_coding","IPR000980"
"ENSG00000225528.4","TMA7B","ENSG00000225528.4","translation machinery associated 7 homolog B",4509,1509,2,"protein_coding","IPR015157"
"ENSG00000133477.17","FAM83F","ENSG00000133477.17","family with sequence similarity 83 member F",48581,18039,13,"protein_coding","IPR012461"
"ENSG00000100354.22","TNRC6B","ENSG00000100354.22","trinucleotide repeat containing adaptor 6B",290992,61998,119,"protein_coding","IPR012677"
"ENSG00000239900.14","ADSL","ENSG00000239900.14","adenylosuccinate lyase",44003,62059,321,"protein_coding","IPR008948"
"ENSG00000284431.1","ENSG00000284431","ENSG00000284431.1","novel protein",63526,4563,31,"protein_coding",""
"ENSG00000100359.21","SGSM3","ENSG00000100359.21","small G protein signaling modulator 3",39699,18570,106,"protein_coding","IPR000195"
"ENSG00000196588.21","MRTFA","ENSG00000196588.21","myocardin related transcription factor A",226439,36354,129,"protein_coding","IPR003034"
"ENSG00000128285.5","MCHR1","ENSG00000128285.5","melanin concentrating hormone receptor 1",3540,5175,9,"protein_coding","IPR000276"
"ENSG00000100372.15","SLC25A17","ENSG00000100372.15","solute carrier family 25 member 17",49770,19919,115,"protein_coding",""
"ENSG00000100380.15","ST13","ENSG00000100380.15","ST13 Hsp70 interacting protein",32105,6206,42,"protein_coding","IPR006636"
"ENSG00000196236.13","XPNPEP3","ENSG00000196236.13","X-prolyl aminopeptidase 3",75739,13591,32,"protein_coding",""
"ENSG00000172404.5","DNAJB7","ENSG00000172404.5","DnaJ heat shock protein family (Hsp40) member B7",2565,2565,1,"protein_coding","IPR001623"
"ENSG00000100387.9","RBX1","ENSG00000100387.9","ring-box 1",21963,3614,10,"protein_coding","IPR001841"
"ENSG00000100393.16","EP300","ENSG00000100393.16","E1A binding protein p300",87568,40460,165,"protein_coding","IPR000197"
"ENSG00000100395.15","L3MBTL2","ENSG00000100395.15","L3MBTL histone methyl-lysine binding protein 2",25990,20925,102,"protein_coding","IPR004092"
"ENSG00000100399.16","CHADL","ENSG00000100399.16","chondroadherin like",11422,5536,15,"protein_coding","IPR000372"
"ENSG00000100401.21","RANGAP1","ENSG00000100401.21","Ran GTPase activating protein 1",41409,18716,83,"protein_coding","IPR001611"
"ENSG00000100403.12","ZC3H7B","ENSG00000100403.12","zinc finger CCCH-type containing 7B",58623,11168,30,"protein_coding","IPR000571"
"ENSG00000167074.15","TEF","ENSG00000167074.15","TEF transcription factor, PAR bZIP family member",31994,9318,11,"protein_coding","IPR004827"
"ENSG00000183864.5","TOB2","ENSG00000183864.5",NA,13308,5114,4,"protein_coding",NA
"ENSG00000100412.17","ACO2","ENSG00000100412.17","aconitase 2",81444,89218,477,"protein_coding","IPR000573"
"ENSG00000100410.8","PHF5A","ENSG00000100410.8","PHD finger protein 5A",8976,1849,12,"protein_coding","IPR005345"
"ENSG00000100413.17","POLR3H","ENSG00000100413.17","RNA polymerase III subunit H",18808,16737,48,"protein_coding","IPR004519"
